title_id,title_name,title_code,title_icon
00050000-10109800,The Legend of Zelda: A Link to the Past,WUP-N-JADE,
00050000-10109900,The Legend of Zelda: A Link to the Past,WUP-N-JADP,
00050000-10109A00,The Legend of Zelda: A Link to the Past,,
00050000-10109B00,The Legend of Zelda: A Link to the Past,,
00050000-10109C00,星のカービィ スーパーデラックス,WUP-N-JAEJ,
00050000-10109D00,Kirby Super Star,WUP-N-JAEE,
00050000-10109E00,Kirby Super Star,WUP-N-JAEP,
00050000-10109F00,ファイアーエムブレム 聖戦の系譜,WUP-N-JAFJ,
00050000-1010A000,スーパードンキーコング2 ディクシー&ディディー,WUP-N-JAGJ,
00050000-1010A100,Donkey Kong Country 2: Diddy's Kong Quest,WUP-N-JAGE,
00050000-1010A200,Donkey Kong Country 2: Diddy's Kong Quest,WUP-N-JAGP,
00050000-1010A300,Donkey Kong Country 2: Diddy's Kong Quest,WUP-N-JAGD,
00050000-1010A400,ファイアーエムブレム 紋章の謎,WUP-N-JAHJ,
00050000-1010A500,スーパーメトロイド,WUP-N-JAJJ,
00050000-1010A600,Super Metroid,WUP-N-JAJE,
00050000-1010A700,Super Metroid,WUP-N-JAJP,
00050000-1010A800,スーパーマリオカート,WUP-N-JAKJ,
00050000-1010A900,Super Mario Kart,WUP-N-JAKE,
00050000-1010AA00,Super Mario Kart,WUP-N-JAKP,
00050000-1010AB00,Batman: Arkham City Armored Edition,WUP-N-ABTE,
00050000-1010AC00,Ben 10 Omniverse,WUP-N-ABEE,
00050000-1010AD00,Darksiders II,WUP-N-AD2E,
00050000-1010AE00,Just Dance 4,WUP-N-AJDE,
00050000-1010AF00,Marvel Avengers: Battle for Earth,WUP-N-AMVE,
00050000-1010B000,Rabbids Land,WUP-N-ARBE,
00050000-1010B100,Rayman Legends,WUP-N-ARME,
00050000-1010B200,Scribblenauts Unlimited,WUP-N-ASCE,
00050000-1010B300,Sonic & All-Stars Racing Transformed,WUP-N-AS2E,
00050000-1010B400,ESPN Sports Connection,WUP-N-ASPE,
00050000-1010B500,TRANSFORMERS PRIME,WUP-P-ATRE,
00050000-1010B600,Your Shape: Fitness Evolved 2013,WUP-N-AYSE,
00050000-1010B800,Wii カラオケ U トライアルディスク,,
00050000-1010C700,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WUP-P-AURE,
00050000-1010C800,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WUP-P-AURP,
00050000-1010CF00,Call of Duty: Black Ops II,WUP-P-AECE,
00050000-1010D700,Skylanders Giants,WUP-P-ASLE,
00050000-1010D800,Madden NFL 13,WUP-N-AMDE,
00050000-1010D900,EA SPORTS FIFA Soccer 13,WUP-N-AF3E,
00050000-1010DA00,NBA 2K13,WUP-N-ANBE,
00050000-1010DB00,Disney Epic Mickey 2: The Power of Two,WUP-N-AEME,
00050000-1010DC00,Mass Effect 3 Special Edition,WUP-P-AMEE,
00050000-1010DD00,ZombiU,WUP-N-AZUE,
00050000-1010E300,Tom Clancy's Splinter Cell Blacklist,WUP-N-AS9E,
00050000-1010E400,Game Party Champions,WUP-N-AGPE,
00050000-1010E600,007 Legends,WUP-P-ASVE,
00050000-1010E700,Cabela's Dangerous Hunts 2013,WUP-P-ACAE,
00050000-1010E800,Wipeout 3,WUP-P-AW3E,
00050000-1010EA00,無双OROCHI2 Hyper,WUP-N-AHBJ,
00050000-1010EB00,マリオカート8,WUP-N-AMKJ,mario_kart_8
00050000-1010EC00,Mario Kart 8,WUP-N-AMKE,mario_kart_8
00050000-1010ED00,Mario Kart 8,WUP-P-AMKP,mario_kart_8
00050000-1010EE00,FIFA 13,WUP-P-AF3P,
00050000-1010EF00,ZombiU,WUP-P-AZUP,
00050000-1010F000,Just Dance 4,WUP-P-AJDP,
00050000-1010F100,Rise of the Guardians,WUP-P-ARGP,
00050000-1010F200,Rise of the Guardians: The Video Game,WUP-N-ARGE,
00050000-1010F300,Family Party: 30 Great Games Obstacle Arcade,WUP-N-AFPE,
00050000-1010F400,TRANSFORMERS PRIME The Game,WUP-P-ATRP,
00050000-1010F500,Mass Effect 3 Special Edition,WUP-P-AMEP,
00050000-1010F600,Assassin’s Creed III,WUP-P-ASSP,
00050000-1010F700,Your Shape: Fitness Evolved 2013,WUP-P-AYSP,
00050000-1010F800,TEKKEN TAG TOURNAMENT Wii U EDITION,WUP-P-AKNP,
00050000-1010F900,Scribblenauts Unlimited,WUP-P-ASCP,
00050000-1010FA00,The Cave,WUP-N-WCVE,
00050000-1010FB00,Puddle,WUP-P-WDLP,
00050000-1010FC00,Rabbids Land,WUP-P-ARBP,
00050000-1010FD00,TANK! TANK! TANK!,WUP-P-ATKE,
00050000-1010FE00,TANK! TANK! TANK!,WUP-P-ATKP,
00050000-1010FF00,GAME PARTY CHAMPIONS,WUP-P-AGPP,
00050000-10110000,TEKKEN TAG TOURNAMENT 2 Wii U EDITION,WUP-N-AKNE,
00050000-10110100,Nano Assault Neo,WUP-N-WASE,
00050000-10110200,WARRIORS OROCHI 3 Hyper,WUP-N-AHBE,
00050000-10110500,Puddle,WUP-N-WDLE,
00050000-10110600,Nano Assault Neo,WUP-P-WASP,
00050000-10110700,007 Legends,,
00050000-10110800,Marvel Avengers: Battle for Earth,WUP-P-AMVP,
00050000-10110900,NINJA GAIDEN 3: Razor's Edge,WUP-N-ANGJ,
00050000-10110A00,NINJA GAIDEN 3: Razor’s Edge,WUP-N-ANGE,
00050000-10110B00,Ninja Gaiden 3: Razor’s Edge,WUP-P-ANGP,
00050000-10110C00,FIFA 13 ワールドクラスサッカー,WUP-N-AF3J,
00050000-10110E00,大乱闘スマッシュブラザーズ for Wii U,WUP-N-AXFJ,super_smash_bros
00050000-10110F00,Darksiders II,WUP-P-AD2P,
00050000-10111000,Ben 10 Omniverse,WUP-P-ABEP,
00050000-10111100,JEOPARDY!,WUP-N-AJPE,
00050000-10111200,Wheel of Fortune,WUP-N-AWFE,
00050000-10111300,Batman Arkham City: Armoured Edition,WUP-P-ABTP,
00050000-10111400,Rayman Legends,WUP-P-ARMP,
00050000-10111600,Fast & Furious: Showdown,WUP-P-AF6E,
00050000-10111700,Injustice: Gods Among Us,WUP-N-AJSE,
00050000-10111A00,Injustice: Gods Among Us,WUP-P-AJSP,
00050000-10111B00,ニンテンドー3DS版モンスターハンター3G･パケットリレーツール,WUP-N-WLYJ,
00050000-10111C00,三國志12,WUP-N-AG9J,
00050000-10111D00,Sports Connection,WUP-P-ASPP,
00050000-10111E00,Scribblenauts Unlimited,,
00050000-10111F00,Sonic & All-Stars Racing Transformed,WUP-P-AS2P,
00050000-10112000,The Croods: Prehistoric Party!,WUP-N-ACRE,
00050000-10112100,Know Your Friends,WUP-U-AKFP,
00050000-10112200,Trine 2: Director's Cut,WUP-P-WBDP,
00050000-10112300,ZombiU(ゾンビU),WUP-N-AZUJ,
00050000-10112400,アサシン クリードⅢ,WUP-N-ASSJ,
00050000-10112500,スポーツコネクション,WUP-N-ASPJ,
00050000-10112600,レイマン レジェンド,WUP-N-ARMJ,
00050000-10112700,ラビッツランド,WUP-N-ARBJ,
00050000-10112800,スプリンターセル ブラックリスト,WUP-N-AS9J,
00050000-10112900,バットマン:アーカム･シティ アーマード･エディション,WUP-N-ABTJ,
00050000-10112B00,Warriors Orochi 3 Hyper,WUP-P-AHBP,
00050000-10112D00,ゲーム&ワリオ,WUP-N-ASAJ,
00050000-10112E00,Disney Epic Mickey 2,,
00050000-10112F00,NBA 2K13,WUP-P-ANBP,
00050000-10113000,マスエフェクト 3 - 特別版 -,WUP-P-AMEJ,
00050000-10113100,バイオハザード リベレーションズ アンベールド エディション,WUP-N-ABHJ,
00050000-10113200,Family Party: 30 Great Games Obstacle Arcade,WUP-P-AFPP,
00050000-10113300,The Smurfs 2,WUP-P-ASUE,
00050000-10113400,Call of Duty: Black Ops II,WUP-U-AECP,
00050000-10113500,Call of Duty: Black Ops II,WUP-U-AECI,
00050000-10113600,タンク!タンク!タンク!,WUP-P-ATKJ,
00050000-10113700,Call of Duty: Black Ops II,WUP-U-AECD,
00050000-10113800,Zen Pinball 2,WUP-P-WBAP,
00050000-10113A00,CastleStorm,WUP-P-WCSP,
00050000-10113B00,KickBeat Special Edition,WUP-P-WKBP,
00050000-10113C00,Funky Barn,WUP-P-AFBE,
00050000-10113D00,Rapala Pro Bass Fishing,WUP-P-ABFE,
00050000-10113E00,ゼビウス,WUP-N-FALJ,
00050000-10113F00,Xevious,WUP-N-FALE,
00050000-10114000,Xevious,WUP-N-FALP,
00050000-10114100,ヨッシーのたまご,WUP-N-FAMJ,
00050000-10114200,Yoshi,WUP-N-FAME,
00050000-10114300,Mario&Yoshi,WUP-N-FAMP,
00050000-10114400,ロックマン,WUP-N-FANJ,
00050000-10114500,Mega Man,WUP-N-FANE,
00050000-10114600,Mega Man,WUP-N-FANP,
00050000-10114700,ロックマン2 Dr.ワイリーの謎,WUP-N-FAPJ,
00050000-10114800,Mega Man 2,WUP-N-FAPE,
00050000-10114900,Mega Man 2,WUP-N-FAPP,
00050000-10114A00,ダウンタウン熱血行進曲 それゆけ大運動会,WUP-N-FAQJ,
00050000-10114B00,がんばれゴエモン ゆき姫救出絵巻,WUP-N-JALJ,
00050000-10114C00,The Legend of The Mystical Ninja,WUP-N-JALE,
00050000-10114D00,The Legend of The Mystical Ninja,WUP-N-JALP,
00050000-10114E00,The Legend of The Mystical Ninja,,
00050000-10114F00,ストリートファイターⅡ ザ ワールド ウォーリアー,WUP-N-JAMJ,
00050000-10115000,Street Fighter II: The World Warrior,WUP-N-JAME,
00050000-10115100,Street Fighter II: The World Warrior,WUP-N-JAMP,
00050000-10115200,星のカービィ3,WUP-N-JANJ,
00050000-10115300,Kirby's Dream Land 3,WUP-N-JANE,
00050000-10115400,Kirby's Dream Land 3,WUP-N-JANP,
00050000-10115A00,マリオのスーパーピクロス,WUP-N-JAQJ,
00050000-10115B00,Mario’s Super Picross,WUP-N-JAQP,
00050000-10115D00,The Smurfs 2,WUP-P-ASUP,
00050000-10115E00,ドラゴンクエストⅩ 目覚めし五つの種族 オンライン,WUP-N-ADQJ,
00050000-10115F00,Zen Pinball 2,WUP-N-WBAE,
00050000-10116000,Skylanders Giants,,
00050000-10116100,XenobladeX ゼノブレイドクロス,WUP-N-AX5J,
00050000-10116300,The Wonderful 101,WUP-N-ACMJ,
00050000-10116400,ニコニコ,WUP-N-HNAJ,
00050000-10116500,Toki Tori 2+,WUP-P-WAAP,
00050000-10116600,真･北斗無双,WUP-N-AH9J,
00050000-10116700,KickBeat Special Edition,WUP-N-WKBE,
00050000-10117200,Monster Hunter 3 Ultimate,WUP-P-AHDP,
00050000-10117700,Chasing Aurora,WUP-P-WCAP,
00050000-10117800,Kung Fu Rabbit,WUP-P-WKFP,
00050000-10118000,SIMPLEシリーズ for Wii U Vol.1 THE ファミリーパーティー,WUP-N-AFPJ,
00050000-10118100,Barbie Dreamhouse Party,,
00050000-10118200,Monster High 13 Wishes,,
00050000-10118300,Monster Hunter 3 Ultimate,WUP-N-AHDE,
00050000-10118400,Funky Barn,WUP-P-AFBP,
00050000-10119100,パックマン,WUP-N-FARJ,
00050000-10119200,PAC-MAN,WUP-N-FARE,
00050000-10119300,PAC-MAN,WUP-N-FARP,
00050000-10119400,スペランカー,WUP-N-FASJ,
00050000-10119500,グラディウス,WUP-N-FATJ,
00050000-10119700,Gradius,WUP-N-FATP,
00050000-10119800,ツインビー,WUP-N-FAUJ,
00050000-10119900,F-ZERO,WUP-N-JARJ,
00050000-10119A00,F-Zero,WUP-N-JARE,
00050000-10119B00,F-ZERO,WUP-N-JARP,
00050000-10119C00,カービィボウル,WUP-N-JASJ,
00050000-10119D00,Kirby's Dream Course,WUP-N-JASE,
00050000-10119E00,Kirby's Dream Course,WUP-N-JASP,
00050000-10119F00,超魔界村,WUP-N-JATJ,
00050000-1011A000,Super Ghouls'n Ghosts,WUP-N-JATE,
00050000-1011A100,Super Ghouls'n Ghosts,WUP-N-JATP,
00050000-1011A200,がんばれゴエモン2 奇天烈将軍マッギネス,WUP-N-JAUJ,
00050000-1011A300,スーパーストリートファイターⅡ ザ ニューチャレンジャーズ,WUP-N-JAVJ,
00050000-1011A400,Super Street Fighter II: The New Challengers,WUP-N-JAVE,
00050000-1011A500,Super Street FighterⅡ: The New Challengers,WUP-N-JAVP,
00050000-1011A600,Dangerous Hunts 2013,,
00050000-1011A700,ZombiU,WUP-P-AZUD,
00050000-1011A800,Wii Party U,WUP-N-ANXJ,
00050000-1011A900,Spelunker,WUP-N-FASE,
00050000-1011AA00,Spelunker,WUP-N-FASP,
00050000-1011AB00,ロードランナー,WUP-N-FAVJ,
00050000-1011AC00,Lode Runner,WUP-N-FAVE,
00050000-1011AD00,Lode Runner,WUP-N-FAVP,
00050000-1011AE00,Gradius,WUP-N-FATE,
00050000-1011AF00,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,WUP-N-WBTE,
00050000-1011B000,Disney Epic Mickey 2: The Power of Two,WUP-P-AEMS,
00050000-1011B100,Mighty Switch Force! Hyper Drive Edition,WUP-N-WHYE,
00050000-1011B200,Little Inferno,WUP-N-WLFE,
00050000-1011B300,Funky Barn,WUP-P-AFBZ,
00050000-1011B400,コール オブ デューティ ブラックオプスII,WUP-P-AECJ,
00050000-1011B600,Dragon Quest X Beta test,WUP-U-AQDJ,
00050000-1011B700,UPLAY,WUP-N-WLAP,
00050000-1011B900,ベヨネッタ2,WUP-N-AQUJ,
00050000-1011BA00,Uplay,WUP-N-WLAE,
00050000-1011C000,Chasing Aurora,WUP-N-WCAE,
00050000-1011C100,Mutant Mudds Deluxe,WUP-N-WMME,
00050000-1011C300,The Amazing Spider-Man Ultimate Edition,WUP-P-AMZE,
00050000-1011C500,Disney Planes,WUP-N-APAE,
00050000-1011C600,Cloudberry Kingdom,WUP-N-WCKE,
00050000-1011F200,Game & Wario,WUP-N-ASAE,
00050000-1011F300,The Walking Dead: Survival Instinct,WUP-P-AWDE,
00050000-10128200,Mighty Switch Force! Hyper Drive Edition,WUP-P-WHYP,
00050000-10128300,The Amazing Spider-Man Ultimate Edition,WUP-P-AMZP,
00050000-10128400,Need for Speed Most Wanted U,WUP-P-ANSP,
00050000-10128600,Little Inferno,WUP-P-WLFP,
00050000-10128700,Toki Tori 2+,WUP-N-WAAE,
00050000-10128800,Need for Speed Most Wanted U,WUP-N-ANSE,
00050000-10128900,Game & Wario,WUP-P-ASAP,
00050000-10128A00,Trine 2: Director's Cut,WUP-N-WBDE,
00050000-10128C00,Tank! Tank ! Tank! (DL),WUP-P-WAKP,
00050000-10128F00,Sonic Lost World,WUP-N-ASNE,
00050000-10129000,DuckTales: Remastered,WUP-N-WDKE,
00050000-10129200,DuckTales: Remastered,WUP-P-WDKP,
00050000-10129400,The Walking Dead : Survival Instinct,,
00050000-10129500,Funky Barn Download,WUP-N-AFBY,
00050000-10129600,Wii U Panorama View 予告編,WUP-N-SPGJ,
00050000-10129700,ドンキーコングJR.,WUP-N-FAWJ,
00050000-10129800,Donkey Kong Jr.,WUP-N-FAWE,
00050000-10129900,Donkey Kong Jr.,WUP-N-FAWP,
00050000-10129A00,忍者じゃじゃ丸くん,WUP-N-FAXJ,
00050000-10129B00,ソロモンの鍵,WUP-N-FAYJ,
00050000-10129C00,Solomon's Key,WUP-N-FAYE,
00050000-10129D00,Solomon's Key,WUP-N-FAYP,
00050000-10129E00,ロックマン3 Dr.ワイリーの最期!?,WUP-N-FAZJ,
00050000-10129F00,Mega Man 3,WUP-N-FAZE,
00050000-1012A000,Mega Man 3,WUP-N-FAZP,
00050000-1012A100,マッピー,WUP-N-FA2J,
00050000-1012A200,カービィのきらきらきっず,WUP-N-JAWJ,
00050000-1012A300,がんばれゴエモン3 獅子重禄兵衛のからくり卍固め,WUP-N-JAXJ,
00050000-1012A500,ストリートファイターⅡ ターボ ハイパー ファイティング,WUP-N-JAYJ,
00050000-1012A600,Street Fighter II Turbo: Hyper Fighting,WUP-N-JAYE,
00050000-1012A700,かまいたちの夜,WUP-N-JAZJ,
00050000-1012A800,ヘラクレスの栄光Ⅲ 神々の沈黙,WUP-N-JA2J,
00050000-1012AC00,Tom Clancy's Splinter Cell Blacklist,WUP-P-AS9P,
00050000-1012AD00,Street Fighter II Turbo: Hyper Fighting,WUP-N-JAYP,
00050000-1012B100,Sonic Lost World,WUP-P-ASNP,
00050000-1012B200,Deus Ex Human Revolution Director's Cut,WUP-P-ADXP,
00050000-1012B400,Resident Evil Revelations,WUP-P-ABHP,
00050000-1012B500,The Cave,WUP-P-WCVP,
00050000-1012B700,NEED FOR SPEED MOST WANTED U,WUP-N-ANSJ,
00050000-1012B800,Fist of the North Star: Ken's Rage 2,WUP-P-AH9P,
00050000-1012B900,Fist of the North Star: Ken's Rage 2,WUP-N-AH9E,
00050000-1012BA00,Deus Ex: Human Revolution – Director's Cut,WUP-N-ADXE,
00050000-1012BC00,ピクミン3,WUP-N-AC3J,
00050000-1012BD00,Pikmin 3,WUP-N-AC3E,
00050000-1012BE00,Pikmin 3,WUP-P-AC3P,
00050000-1012BF00,Dungeons & Dragons: Chronicles of Mystara,WUP-P-WDDP,
00050000-1012C000,Dungeons & Dragons: Chronicles of Mystara,WUP-N-WDDE,
00050000-1012C400,Disney Epic Mickey 2,,
00050000-1012C500,THE CROODS,WUP-P-ACRP,
00050000-1012CB00,2.1.0U System ate Disc,,
00050000-1012CC00,2.1.0E System ate Disc,,
00050000-1012CD00,Jett Tailfin,WUP-N-AJEE,
00050000-1012CF00,Resident Evil Revelations,WUP-N-ABHE,
00050000-1012D000,Cocoto Magic Circus 2,,
00050000-1012D300,Wii Street U powered by Google,WUP-N-WHXJ,
00050000-1012D400,Wii U Panorama View ロンドンバスでいこう,WUP-N-WLNJ,
00050000-1012D500,Wii U Panorama View 鳥の飛行隊,WUP-N-WETJ,
00050000-1012D600,Wii U Panorama View リオでカーニバル!,WUP-N-WBRJ,
00050000-1012D700,Wii U Panorama View 京の町ゆく人力車,WUP-N-WKYJ,
00050000-1012D800,Kung Fu Rabbit,WUP-N-WKFE,
00050000-1012DA00,Fast & Furious: Showdown,,
00050000-1012DC00,The Wonderful 101,WUP-N-ACME,
00050000-1012DE00,レッキングクルー,WUP-N-FA4J,
00050000-1012DF00,Wrecking Crew,WUP-N-FA4E,
00050000-1012E000,Wrecking Crew,WUP-N-FA4P,
00050000-1012E100,ふぁみこんむかし話 新･鬼ヶ島（前後編）,WUP-N-FA5J,
00050000-1012E200,ギャラガ,WUP-N-FA6J,
00050000-1012E300,Galaga,WUP-N-FA6E,
00050000-1012E400,Galaga,WUP-N-FA6P,
00050000-1012E600,ロックマン4 新たなる野望!!,WUP-N-FA7J,
00050000-1012E700,Mega Man 4,WUP-N-FA7E,
00050000-1012E800,Mega Man 4,WUP-N-FA7P,
00050000-1012E900,パネルでポン,WUP-N-JA3J,
00050000-1012EC00,真･女神転生,WUP-N-JA4J,
00050000-1012ED00,魂斗羅スピリッツ,WUP-N-JA5J,
00050000-1012EE00,Contra III: The Alien Wars,WUP-N-JA5E,
00050000-1012EF00,Contra III The Alien Wars,WUP-N-JA5P,
00050000-1012F000,FAST Racing NEO,WUP-N-WFSE,
00050000-1012F100,Wii Sports Club,WUP-N-AWSJ,
00050000-1012F200,タンク!タンク!タンク! (DL),WUP-N-WAKJ,
00050000-1012F300,メトロイド,WUP-N-FA8J,
00050000-1012F400,Metroid,WUP-N-FA8E,
00050000-1012F500,Metroid,WUP-N-FA8P,
00050000-1012F600,スーパーマリオブラザーズ2,WUP-N-FA9J,
00050000-1012F700,Super Mario Bros.: The Lost Levels,WUP-N-FA9E,
00050000-1012F800,Super Mario Bros.: The Lost Levels,WUP-N-FA9P,
00050000-1012F900,ゼルダの伝説,WUP-N-FBAJ,
00050000-1012FA00,The Legend of Zelda,WUP-N-FBAE,
00050000-1012FB00,The Legend of Zelda,WUP-N-FBAP,
00050000-1012FC00,光神話 パルテナの鏡,WUP-N-FBBJ,
00050000-1012FD00,Kid Icarus,WUP-N-FBBE,
00050000-1012FE00,Kid Icarus,WUP-N-FBBP,
00050000-1012FF00,リンクの冒険,WUP-N-FBCJ,
00050000-10130000,Zelda II - The Adventure of Link,WUP-N-FBCE,
00050000-10130100,Zelda II - The Adventure of Link,WUP-N-FBCP,
00050000-10130200,ファミコン探偵倶楽部 PARTⅡ うしろに立つ少女(スーパーファミコン版),WUP-N-JA6J,
00050000-10130300,パイロットウイングス,WUP-N-JA7J,
00050000-10130400,Pilotwings,WUP-N-JA7E,
00050000-10130500,Pilotwings,WUP-N-JA7P,
00050000-10130600,ファイナルファイト,WUP-N-JA8J,
00050000-10130700,Final Fight,WUP-N-JA8E,
00050000-10130800,Final Fight,WUP-N-JA8P,
00050000-10130900,悪魔城ドラキュラ,WUP-N-JA9J,
00050000-10130A00,Super Castlevania IV,WUP-N-JA9E,
00050000-10130B00,Super Castlevania IV,WUP-N-JA9P,
00050000-10130C00,ロックマンX,WUP-N-JBAJ,
00050000-10130D00,Mega Man X,WUP-N-JBAE,
00050000-10130E00,Mega Man X,WUP-N-JBAP,
00050000-10131000,Wii U Panorama View: Double-Decker Tour,WUP-N-WLNE,
00050000-10131100,Wii U Panorama View: Bird’s-Eye View,WUP-N-WETE,
00050000-10131200,Wii U Panorama View: Carnival in Rio,WUP-N-WBRE,
00050000-10131300,Wii U Panorama View: Kyoto Sightseeing,WUP-N-WKYE,
00050000-10131400,Wii U Panorama View Double-Decker Tour,WUP-P-WLNP,
00050000-10131500,Wii U Panorama View Birds in Flight,WUP-P-WETP,
00050000-10131600,Wii U Panorama View Carnival!,WUP-P-WBRP,
00050000-10131700,Wii U Panorama View Rickshaw Around Kyoto,WUP-P-WKYP,
00050000-10131900,F1 RACE STARS POWERED UP EDITION,WUP-P-AF9P,
00050000-10131A00,Cloudberry Kingdom,WUP-P-WCKP,
00050000-10131B00,Wii U Panorama View: Demo Trailer,WUP-N-SPGE,
00050000-10131C00,Wii U Panorama View Interactive Trailer,WUP-P-SPGP,
00050000-10131D00,幻影異聞録♯FE,WUP-N-ASEJ,
00050000-10131E00,ポケモンスクランブル U,WUP-N-WCNJ,
00050000-10131F00,ヨッシー ウールワールド,WUP-N-AYCJ,
00050000-10132000,Wii Street U powered by Google,,
00050000-10132100,Wii Street U powered by Google,,
00050000-10132200,太鼓の達人 Wii Uば～じょん!,WUP-N-AT5J,
00050000-10132400,LEGO Marvel Super Heroes,WUP-P-ALMP,
00050000-10132500,Wii Fit U Quick Check,WUP-U-WB9J,
00050000-10132600,Wii Fit U Quick Check,WUP-U-WB9E,
00050000-10132700,Wii Fit U Quick Check,WUP-U-WB9P,
00050000-10132800,Unepic,WUP-N-WEPE,
00050000-10132900,Disney Infinity,WUP-P-ADSE,
00050000-10132A00,Star Wars Pinball,WUP-P-WA2P,
00050000-10132B00,LEGO Marvel Super Heroes,WUP-N-ALME,
00050000-10132C00,Scribblenauts Unmasked: A DC Comics Adventure,WUP-N-ADCE,
